,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
3827.6784,,,,,,,,,,,LIS_003,Jureia
3827.8308,,,,,,,,,,,LIS_003,Jureia
3827.9832,,,,,,,,,,,LIS_003,Jureia
3828.1356,,,,,,,,,,,LIS_003,Jureia
3828.288,,,,,,,,,,,LIS_003,Jureia
3828.4404,,,,,,,,,,,LIS_003,Jureia
3828.5928,,,,,,,,,,,LIS_003,Jureia
3828.7452,,,,,,,,,,,LIS_003,Jureia
3828.8976,,,,,,,,,,,LIS_003,Jureia
3829.05,,,,,,,,,,,LIS_003,Jureia
3829.2024,,,,,,,,,,,LIS_003,Jureia
3829.3548,,,,,,,,,,,LIS_003,Jureia
3829.5072,,,,,,,,,,,LIS_003,Jureia
3829.6596,,,,,,,,,,,LIS_003,Jureia
3829.812,,,,,,,,,,,LIS_003,Jureia
3829.9644,,,,,,,,,,,LIS_003,Jureia
3830.1168,,,,,,,,,,,LIS_003,Jureia
3830.2692,,,,,,,,,,,LIS_003,Jureia
3830.4216,,,,,,,,,,,LIS_003,Jureia
3830.574,,,,,,,,,,,LIS_003,Jureia
3830.7264,,,,,,,,,,,LIS_003,Jureia
3830.8788,,,,,,,,,,,LIS_003,Jureia
3831.0312,,,,,,,,,,,LIS_003,Jureia
3831.1836,,,,,,,,,,,LIS_003,Jureia
3831.336,,,,,,,,,,,LIS_003,Jureia
3831.4884,,,,,,,,,,,LIS_003,Jureia
3831.6408,,,,,,,,,,,LIS_003,Jureia
3831.7932,,,,,,,,,,,LIS_003,Jureia
3831.9456,45.9469,,,,,,,,,,LIS_003,Jureia
3832.098,46.2161,,,,,,,,,,LIS_003,Jureia
3832.2504,46.5673,,,,,,,,,,LIS_003,Jureia
3832.4028,46.3148,,,,,,,,,,LIS_003,Jureia
3832.5552,45.3931,,,,,,,,,,LIS_003,Jureia
3832.7076,44.6809,,,,,,,,,,LIS_003,Jureia
3832.86,43.5429,,,,,,,,,,LIS_003,Jureia
3833.0124,41.4916,,,,,,,,,,LIS_003,Jureia
3833.1648,39.8967,,,,,,,,,,LIS_003,Jureia
3833.3172,39.2275,,,,,,,,,,LIS_003,Jureia
3833.4696,38.0437,,,,,,,,,,LIS_003,Jureia
3833.622,36.2087,,,,,,,,,,LIS_003,Jureia
3833.7744,35.2821,,,,,,,,,,LIS_003,Jureia
3833.9268,36.1124,,,,,,,,,,LIS_003,Jureia
3834.0792,37.7488,,,,,,,,,,LIS_003,Jureia
3834.2316,38.8099,,,,,,,,,,LIS_003,Jureia
3834.384,39.2131,,,,,,,,,,LIS_003,Jureia
3834.5364,39.6458,,,,,,,,,,LIS_003,Jureia
3834.6888,40.2376,,,,,,,,,,LIS_003,Jureia
3834.8412,41.4084,,,,,,,,,,LIS_003,Jureia
3834.9936,43.1608,,,,,,,,,,LIS_003,Jureia
3835.146,44.9766,,,,,,,,,,LIS_003,Jureia
3835.2984,46.5006,,,,,,,,,,LIS_003,Jureia
3835.4508,47.4223,,,,,,,,,,LIS_003,Jureia
3835.6032,47.4663,,,,,,,,,,LIS_003,Jureia
3835.7556,46.8631,,,,,,,,,,LIS_003,Jureia
3835.908,45.9219,,,,,,,,,,LIS_003,Jureia
3836.0604,45.5623,,,,,,,,,,LIS_003,Jureia
3836.2128,46.489,,,,,,,,,,LIS_003,Jureia
3836.3652,47.575,,,,,,,,,,LIS_003,Jureia
3836.5176,47.6475,,,,,,,,,,LIS_003,Jureia
3836.67,46.8272,,,,,,,,,,LIS_003,Jureia
3836.8224,45.2678,,,,,,,,,,LIS_003,Jureia
3836.9748,43.9538,,,,,,,,,,LIS_003,Jureia
3837.1272,43.7871,,,,,,,,,,LIS_003,Jureia
3837.2796,43.8379,,,,,,,,,,LIS_003,Jureia
3837.432,43.058,,,,,,,,,,LIS_003,Jureia
3837.5844,42.3357,,,,,,,,,,LIS_003,Jureia
3837.7368,43.032,,,,,,,,,,LIS_003,Jureia
3837.8892,44.8714,,,,,,,,,,LIS_003,Jureia
3838.0416,45.9727,,,,,,,,,,LIS_003,Jureia
3838.194,45.3667,,,,,,,,,,LIS_003,Jureia
3838.3464,44.0271,,,,,,,,,,LIS_003,Jureia
3838.4988,43.5779,,,,,,,,,,LIS_003,Jureia
3838.6512,45.3075,,,,,,,,,,LIS_003,Jureia
3838.8036,48.1794,,,,,,,,,,LIS_003,Jureia
3838.956,50.0748,,,,,,,,,,LIS_003,Jureia
3839.1084,49.8836,,,,,,,,,,LIS_003,Jureia
3839.2608,47.9026,,,,,,,,,,LIS_003,Jureia
3839.4132,45.4921,,,,,,,,,,LIS_003,Jureia
3839.5656,43.7468,,,,,,,,,,LIS_003,Jureia
3839.718,42.939,,,,,,,,,,LIS_003,Jureia
3839.8704,42.7387,,,,,,,,,,LIS_003,Jureia
3840.0228,41.997,,,,,,,,,,LIS_003,Jureia
3840.1752,39.373,,,,,,,,,,LIS_003,Jureia
3840.3276,36.9552,,,,,,,,,,LIS_003,Jureia
3840.48,37.4502,,,,,,,,,,LIS_003,Jureia
3840.6324,40.4848,,,,,,,,,,LIS_003,Jureia
3840.7848,43.6084,,,,,,,,,,LIS_003,Jureia
3840.9372,45.819,,,,,,,,,,LIS_003,Jureia
3841.0896,47.3012,,,,,,,,,,LIS_003,Jureia
3841.242,47.8785,,,,,,,,,,LIS_003,Jureia
3841.3944,47.8248,,,,,,,,,,LIS_003,Jureia
3841.5468,47.6193,,,,,,,,,,LIS_003,Jureia
3841.6992,47.1503,,,,,,,,,,LIS_003,Jureia
3841.8516,46.3644,,,,,,,,,,LIS_003,Jureia
3842.004,45.8402,,,,,,,,,,LIS_003,Jureia
3842.1564,45.9671,,,,,,,,,,LIS_003,Jureia
3842.3088,46.3824,,,,,,,,,,LIS_003,Jureia
3842.4612,46.8173,,,,,,,,,,LIS_003,Jureia
3842.6136,47.3956,,,,,,,,,,LIS_003,Jureia
3842.766,47.6352,,,,,,,,,,LIS_003,Jureia
3842.9184,47.3749,,,,,,,,,,LIS_003,Jureia
3843.0708,47.1915,,,,,,,,,,LIS_003,Jureia
3843.2232,47.2358,,,,,,,,,,LIS_003,Jureia
3843.3756,46.7367,,,,,,,,,,LIS_003,Jureia
3843.528,45.6016,,,,,,,,,,LIS_003,Jureia
3843.6804,44.6935,,,,,,,,,,LIS_003,Jureia
3843.8328,44.7596,,,,,,,,,,LIS_003,Jureia
3843.9852,45.7093,,,,,,,,,,LIS_003,Jureia
3844.1376,47.0565,,,,,,,,,,LIS_003,Jureia
3844.29,48.1704,,,,,,54.3613,,,,LIS_003,Jureia
3844.4424,48.4831,,,,,,54.1584,,,,LIS_003,Jureia
3844.5948,47.8296,,,,,,54.0177,,,,LIS_003,Jureia
3844.7472,47.6632,,,,,,53.9888,,,,LIS_003,Jureia
3844.8996,48.5816,,,,,,54.1245,,,,LIS_003,Jureia
3845.052,48.892,,,,,,54.3816,,,,LIS_003,Jureia
3845.2044,47.7357,,,,,,54.6874,,,,LIS_003,Jureia
3845.3568,47.032,,,,,,54.8837,,,,LIS_003,Jureia
3845.5092,47.7399,,,,,,54.873,,,,LIS_003,Jureia
3845.6616,48.3523,,,,,,54.7704,,,,LIS_003,Jureia
3845.814,48.651,,,,,,54.7273,,,,LIS_003,Jureia
3845.9664,48.8938,,,,,,54.7851,,,,LIS_003,Jureia
3846.1188,48.5532,,,,,,54.9115,,,,LIS_003,Jureia
3846.2712,47.9901,,,,,,55.0817,,,,LIS_003,Jureia
3846.4236,48.1087,,,,,,55.2886,,,,LIS_003,Jureia
3846.576,48.2556,,,,,,55.5123,,,,LIS_003,Jureia
3846.7284,47.2278,,,,,,55.6549,,,,LIS_003,Jureia
3846.8808,45.2006,,,,,,55.5634,,,,LIS_003,Jureia
3847.0332,43.2499,,,,,,55.1671,,,,LIS_003,Jureia
3847.1856,41.9831,,,,,,54.5829,,,,LIS_003,Jureia
3847.338,40.5675,,,,,,54.0996,,,,LIS_003,Jureia
3847.4904,38.9043,,,,,,53.9746,,,,LIS_003,Jureia
3847.6428,38.3007,,,,,,54.2134,,,,LIS_003,Jureia
3847.7952,39.6465,,,,,,54.5883,,,,LIS_003,Jureia
3847.9476,41.9496,,,,,,54.785,,,,LIS_003,Jureia
3848.1,44.1982,,,,,,54.6401,,,,LIS_003,Jureia
3848.2524,45.781,,,,,,54.288,,,,LIS_003,Jureia
3848.4048,46.6125,,,,,,53.9566,,,,LIS_003,Jureia
3848.5572,47.2001,,,,,,53.7786,,,,LIS_003,Jureia
3848.7096,47.8449,,,,,,53.7398,,,,LIS_003,Jureia
